VALOR,UNIDAD,VIGENCIADESDE,VIGENCIAHASTA
762.2,COP,6/3/1993,8/3/1993
768.31,COP,6/4/1993,6/4/1993
777.88,COP,6/5/1993,6/5/1993
801.86,COP,6/8/1993,6/8/1993
812.75,COP,6/10/1993,6/10/1993
815.7,COP,6/11/1993,8/11/1993
740.08,COP,7/1/1993,7/1/1993
768.52,COP,7/4/1993,7/4/1993
778.17,COP,7/5/1993,7/5/1993
789.47,COP,7/7/1993,7/7/1993
801.78,COP,7/8/1993,9/8/1993
807.62,COP,7/9/1993,7/9/1993
812.54,COP,7/10/1993,7/10/1993
803.1,COP,7/12/1993,7/12/1993
742.61,COP,8/1/1993,8/1/1993
768.6,COP,8/4/1993,12/4/1993
777.17,COP,8/5/1993,10/5/1993
782.29,COP,8/6/1993,8/6/1993
790.58,COP,8/7/1993,8/7/1993
808.24,COP,8/9/1993,8/9/1993
811.91,COP,8/10/1993,8/10/1993
800.6,COP,8/12/1993,9/12/1993
746.63,COP,9/1/1993,12/1/1993
745.45,COP,9/2/1993,9/2/1993
763.38,COP,9/3/1993,9/3/1993
784.62,COP,9/6/1993,9/6/1993
791.73,COP,9/7/1993,9/7/1993
809.33,COP,9/9/1993,9/9/1993
811.28,COP,9/10/1993,11/10/1993
814.26,COP,9/11/1993,9/11/1993
745.49,COP,10/2/1993,10/2/1993
763.9,COP,10/3/1993,10/3/1993
784.95,COP,10/6/1993,10/6/1993
793.18,COP,10/7/1993,12/7/1993
802.3,COP,10/8/1993,10/8/1993
810.25,COP,10/9/1993,10/9/1993
813.95,COP,10/11/1993,10/11/1993
798.51,COP,10/12/1993,10/12/1993
745.38,COP,11/2/1993,11/2/1993
764.74,COP,11/3/1993,11/3/1993
777.75,COP,11/5/1993,11/5/1993
785.79,COP,11/6/1993,11/6/1993
803.22,COP,11/8/1993,11/8/1993
810.03,COP,11/9/1993,13/09/1993
811.07,COP,11/11/1993,11/11/1993
797.53,COP,11/12/1993,13/12/1993
748.22,COP,12/2/1993,12/2/1993
765.19,COP,12/3/1993,12/3/1993
779.41,COP,12/5/1993,12/5/1993
784.8,COP,12/6/1993,15/06/1993
804.48,COP,12/8/1993,12/8/1993
811.19,COP,12/10/1993,12/10/1993
809.87,COP,12/11/1993,12/11/1993
804.33,COP,1/1/1994,3/1/1994
817,COP,1/2/1994,1/2/1994
820.12,COP,1/3/1994,1/3/1994
841.93,COP,1/6/1994,1/6/1994
818.05,COP,1/7/1994,1/7/1994
816.08,COP,1/9/1994,1/9/1994
843,COP,1/10/1994,3/10/1994
837.62,COP,1/11/1994,1/11/1994
829.29,COP,1/12/1994,1/12/1994
819.27,COP,2/2/1994,2/2/1994
819.83,COP,2/3/1994,2/3/1994
842,COP,2/6/1994,2/6/1994
817.92,COP,2/7/1994,5/7/1994
815.89,COP,2/8/1994,2/8/1994
817.64,COP,2/9/1994,2/9/1994
837.79,COP,2/11/1994,2/11/1994
829.56,COP,2/12/1994,2/12/1994
817.96,COP,3/2/1994,3/2/1994
819.61,COP,3/3/1994,3/3/1994
838.04,COP,3/5/1994,3/5/1994
841.44,COP,3/6/1994,3/6/1994
814.53,COP,3/8/1994,3/8/1994
818.81,COP,3/9/1994,5/9/1994
836.18,COP,3/11/1994,3/11/1994
830,COP,3/12/1994,5/12/1994
805.91,COP,4/1/1994,4/1/1994
817.69,COP,4/2/1994,4/2/1994
818.7,COP,4/3/1994,4/3/1994
839.14,COP,4/5/1994,4/5/1994
840.37,COP,4/6/1994,7/6/1994
812.69,COP,4/8/1994,4/8/1994
843.65,COP,4/10/1994,4/10/1994
833.19,COP,4/11/1994,4/11/1994
810.01,COP,5/1/1994,5/1/1994
818,COP,5/2/1994,7/2/1994
817.86,COP,5/3/1994,7/3/1994
820.21,COP,5/4/1994,5/4/1994
841,COP,5/5/1994,5/5/1994
812.57,COP,5/8/1994,5/8/1994
844.4,COP,5/10/1994,5/10/1994
831.25,COP,5/11/1994,8/11/1994
814.21,COP,6/1/1994,6/1/1994
820.93,COP,6/4/1994,6/4/1994
841.25,COP,6/5/1994,6/5/1994
818.45,COP,6/7/1994,6/7/1994
811.91,COP,6/8/1994,8/8/1994
817.8,COP,6/9/1994,6/9/1994
842.54,COP,6/10/1994,6/10/1994
830.37,COP,6/12/1994,6/12/1994
818.83,COP,7/1/1994,7/1/1994
822.57,COP,7/4/1994,7/4/1994
841.7,COP,7/5/1994,9/5/1994
820.42,COP,7/7/1994,7/7/1994
818.21,COP,7/9/1994,7/9/1994
840.06,COP,7/10/1994,7/10/1994
830.85,COP,7/12/1994,7/12/1994
818.89,COP,8/1/1994,11/1/1994
817.64,COP,8/2/1994,8/2/1994
817.76,COP,8/3/1994,8/3/1994
825.28,COP,8/4/1994,8/4/1994
839.56,COP,8/6/1994,8/6/1994
820.24,COP,8/7/1994,8/7/1994
819.24,COP,8/9/1994,8/9/1994
836.8,COP,8/10/1994,10/10/1994
831.1,COP,8/12/1994,9/12/1994
817.81,COP,9/2/1994,9/2/1994
818.02,COP,9/3/1994,9/3/1994
828.92,COP,9/4/1994,11/4/1994
838.03,COP,9/6/1994,9/6/1994
822.34,COP,9/7/1994,11/7/1994
812.39,COP,9/8/1994,9/8/1994
820.02,COP,9/9/1994,9/9/1994
829.09,COP,9/11/1994,9/11/1994
817.88,COP,10/2/1994,10/2/1994
818.37,COP,10/3/1994,10/3/1994
841.27,COP,10/5/1994,10/5/1994
834.96,COP,10/6/1994,10/6/1994
813.64,COP,10/8/1994,10/8/1994
820.26,COP,10/9/1994,12/9/1994
826.84,COP,10/11/1994,10/11/1994
831.49,COP,10/12/1994,12/12/1994
817.88,COP,11/2/1994,11/2/1994
818.46,COP,11/3/1994,11/3/1994
841.33,COP,11/5/1994,11/5/1994
833.19,COP,11/6/1994,14/06/1994
815.4,COP,11/8/1994,11/8/1994
835.59,COP,11/10/1994,11/10/1994
825.17,COP,11/11/1994,11/11/1994
818.5,COP,12/1/1994,12/1/1994
817.78,COP,12/2/1994,14/02/1994
818.62,COP,12/3/1994,14/03/1994
829.32,COP,12/4/1994,12/4/1994
841.92,COP,12/5/1994,12/5/1994
822.14,COP,12/7/1994,12/7/1994
815.84,COP,12/8/1994,12/8/1994
835.38,COP,12/10/1994,12/10/1994
825.87,COP,12/11/1994,15/11/1994
857.16,COP,1/2/1995,1/2/1995
857.85,COP,1/3/1995,1/3/1995
878.18,COP,1/4/1995,3/4/1995
876.62,COP,1/6/1995,1/6/1995
880.49,COP,1/7/1995,3/7/1995
898.35,COP,1/8/1995,1/8/1995
949.35,COP,1/9/1995,1/9/1995
996.76,COP,1/11/1995,1/11/1995
998.15,COP,1/12/1995,1/12/1995
855.76,COP,2/2/1995,2/2/1995
858.87,COP,2/3/1995,2/3/1995
877.9,COP,2/5/1995,2/5/1995
877.22,COP,2/6/1995,2/6/1995
900.78,COP,2/8/1995,2/8/1995
948.23,COP,2/9/1995,4/9/1995
996.96,COP,2/11/1995,2/11/1995
997.87,COP,2/12/1995,4/12/1995
833.18,COP,3/1/1995,3/1/1995
852.22,COP,3/2/1995,3/2/1995
861.33,COP,3/3/1995,3/3/1995
880.63,COP,3/5/1995,3/5/1995
875.99,COP,3/6/1995,5/6/1995
905.53,COP,3/8/1995,3/8/1995
971.22,COP,3/10/1995,3/10/1995
998.18,COP,3/11/1995,3/11/1995
835.38,COP,4/1/1995,4/1/1995
848.82,COP,4/2/1995,6/2/1995
859.65,COP,4/3/1995,6/3/1995
876,COP,4/4/1995,4/4/1995
882.97,COP,4/5/1995,4/5/1995
880.49,COP,4/7/1995,4/7/1995
917.53,COP,4/8/1995,4/8/1995
976.76,COP,4/10/1995,4/10/1995
998.49,COP,4/11/1995,6/11/1995
838.33,COP,5/1/1995,5/1/1995
874.3,COP,5/4/1995,5/4/1995
882.24,COP,5/5/1995,5/5/1995
883.81,COP,5/7/1995,5/7/1995
916.14,COP,5/8/1995,7/8/1995
957.54,COP,5/9/1995,5/9/1995
972.75,COP,5/10/1995,5/10/1995
995.93,COP,5/12/1995,5/12/1995
838.87,COP,6/1/1995,6/1/1995
871.6,COP,6/4/1995,6/4/1995
881.07,COP,6/5/1995,8/5/1995
874.81,COP,6/6/1995,6/6/1995
887.3,COP,6/7/1995,6/7/1995
958.46,COP,6/9/1995,6/9/1995
972.93,COP,6/10/1995,6/10/1995
990.16,COP,6/12/1995,6/12/1995
837.07,COP,7/1/1995,9/1/1995
848.27,COP,7/2/1995,7/2/1995
858.95,COP,7/3/1995,7/3/1995
868.96,COP,7/4/1995,7/4/1995
873.06,COP,7/6/1995,7/6/1995
891.28,COP,7/7/1995,7/7/1995
953.63,COP,7/9/1995,7/9/1995
979.16,COP,7/10/1995,9/10/1995
998.49,COP,7/11/1995,7/11/1995
983.29,COP,7/12/1995,7/12/1995
848.43,COP,8/2/1995,8/2/1995
861.13,COP,8/3/1995,8/3/1995
869.15,COP,8/4/1995,10/4/1995
871.02,COP,8/6/1995,8/6/1995
891.44,COP,8/7/1995,10/7/1995
916.14,COP,8/8/1995,8/8/1995
954.64,COP,8/9/1995,8/9/1995
999.51,COP,8/11/1995,8/11/1995
974.04,COP,8/12/1995,11/12/1995
847.04,COP,9/2/1995,9/2/1995
862.41,COP,9/3/1995,9/3/1995
881.33,COP,9/5/1995,9/5/1995
871.93,COP,9/6/1995,9/6/1995
920.1,COP,9/8/1995,9/8/1995
958.31,COP,9/9/1995,11/9/1995
999.73,COP,9/11/1995,9/11/1995
837.07,COP,10/1/1995,10/1/1995
845.73,COP,10/2/1995,10/2/1995
863.06,COP,10/3/1995,10/3/1995
878.87,COP,10/5/1995,10/5/1995
871.94,COP,10/6/1995,12/6/1995
919.32,COP,10/8/1995,10/8/1995
982.84,COP,10/10/1995,10/10/1995
1000.13,COP,10/11/1995,10/11/1995
840.36,COP,11/1/1995,11/1/1995
845.37,COP,11/2/1995,13/02/1995
865.36,COP,11/3/1995,13/03/1995
866.78,COP,11/4/1995,11/4/1995
880.25,COP,11/5/1995,11/5/1995
897.12,COP,11/7/1995,11/7/1995
917.13,COP,11/8/1995,11/8/1995
981.45,COP,11/10/1995,11/10/1995
999.77,COP,11/11/1995,13/11/1995
843.69,COP,12/1/1995,12/1/1995
868.8,COP,12/4/1995,12/4/1995
881.07,COP,12/5/1995,12/5/1995
897.51,COP,12/7/1995,12/7/1995
919.13,COP,12/8/1995,14/08/1995
958.59,COP,12/9/1995,12/9/1995
981.26,COP,12/10/1995,12/10/1995
979.87,COP,12/12/1995,12/12/1995
1026.3,COP,1/2/1996,1/2/1996
1039.9,COP,1/3/1996,1/3/1996
1061.55,COP,1/5/1996,2/5/1996
1072.59,COP,1/6/1996,3/6/1996
1057.47,COP,1/8/1996,1/8/1996
1027.08,COP,1/10/1996,1/10/1996
1000.14,COP,1/11/1996,1/11/1996
1024.89,COP,2/2/1996,2/2/1996
1040.7,COP,2/3/1996,4/3/1996
1042.2,COP,2/4/1996,2/4/1996
1054.87,COP,2/8/1996,2/8/1996
1030.54,COP,2/10/1996,2/10/1996
999.49,COP,2/11/1996,5/11/1996
994.31,COP,3/1/1996,3/1/1996
1021.29,COP,3/2/1996,5/2/1996
1045.23,COP,3/4/1996,3/4/1996
1062.56,COP,3/5/1996,3/5/1996
1070.55,COP,3/7/1996,3/7/1996
1054.1,COP,3/8/1996,5/8/1996
1044.38,COP,3/9/1996,3/9/1996
1019.17,COP,3/10/1996,3/10/1996
