Fecha,Symbol,close_price
10/3/2005,.OMXHPI,7919.64
10/4/2005,.OMXHPI,7912.11
10/5/2005,.OMXHPI,7836.75
10/6/2005,.OMXHPI,7702.8
10/7/2005,.OMXHPI,7697.93
10/10/2005,.OMXHPI,7727.06
10/11/2005,.OMXHPI,7768.28
10/12/2005,.OMXHPI,7734.26
10/13/2005,.OMXHPI,7604.59
10/14/2005,.OMXHPI,7557.29
10/17/2005,.OMXHPI,7608.61
10/18/2005,.OMXHPI,7584.51
10/19/2005,.OMXHPI,7446.18
10/20/2005,.OMXHPI,7315.3
10/21/2005,.OMXHPI,7255.28
10/24/2005,.OMXHPI,7344.85
10/25/2005,.OMXHPI,7375.31
10/26/2005,.OMXHPI,7389.45
10/27/2005,.OMXHPI,7322.38
10/28/2005,.OMXHPI,7318.81
10/31/2005,.OMXHPI,7482.55
11/1/2005,.OMXHPI,7583.6
11/2/2005,.OMXHPI,7547.1
11/3/2005,.OMXHPI,7649.38
11/4/2005,.OMXHPI,7705.13
11/7/2005,.OMXHPI,7666.42
11/8/2005,.OMXHPI,7663.64
11/9/2005,.OMXHPI,7700.02
11/10/2005,.OMXHPI,7684.91
11/11/2005,.OMXHPI,7743.44
11/14/2005,.OMXHPI,7779.74
11/15/2005,.OMXHPI,7698.38
11/16/2005,.OMXHPI,7658.73
11/17/2005,.OMXHPI,7711.83
11/18/2005,.OMXHPI,7723
11/21/2005,.OMXHPI,7725.88
11/22/2005,.OMXHPI,7754.13
11/23/2005,.OMXHPI,7805.97
11/24/2005,.OMXHPI,7776.9
11/25/2005,.OMXHPI,7852.87
11/28/2005,.OMXHPI,7798.36
11/29/2005,.OMXHPI,7750.73
11/30/2005,.OMXHPI,7748.34
12/1/2005,.OMXHPI,7802.8
12/2/2005,.OMXHPI,7914.61
12/5/2005,.OMXHPI,7927.14
12/7/2005,.OMXHPI,8062.38
12/8/2005,.OMXHPI,8063.36
12/9/2005,.OMXHPI,8046.34
12/12/2005,.OMXHPI,8085.69
